,region,with_gdp,trend_model,lag,periods,MAE,RMSE,Max_error,MASE
672,NAQ,False,Holt,15,4,44.42141368418432,56.6165178560303,0.05435851402961292,19.24157288147272
673,NAQ,False,Holt,15,5,115.09874065449999,136.26113054640265,0.13108278729306255,11.331250696398847
674,NAQ,False,Holt,15,6,126.5360484668784,157.58365489125703,0.14059551263803172,17.183246787385563
675,NAQ,False,ARIMA,1,2,106.2867057574145,121.71471815967861,0.08373721060202165,12.955836519478003
676,NAQ,False,ARIMA,1,3,84.45439671689205,100.42543886898517,0.09416562944239265,15.175915078538232
677,NAQ,False,ARIMA,1,4,47.24251104582056,54.437420275847934,0.04255630034387535,17.117632724874362
678,NAQ,False,ARIMA,1,5,107.20296542823856,121.50595646716968,0.08861237820380795,10.534460403730805
679,NAQ,False,ARIMA,1,6,50.85853932575625,63.59294711224185,0.04855878476977701,15.176138623765715
680,NAQ,False,ARIMA,2,2,114.6374081755647,132.31463245128123,0.09563789308230555,12.85655457896144
681,NAQ,False,ARIMA,2,3,83.20844382158462,100.50677596978599,0.09632965981148071,15.09089537180864
682,NAQ,False,ARIMA,2,4,47.275189403887396,53.925123888050386,0.042243494719304976,17.397711686115333
683,NAQ,False,ARIMA,2,5,108.06905012735272,122.42044522504698,0.08931049698872316,10.65575747803121
684,NAQ,False,ARIMA,2,6,50.64887786848314,63.312593236819815,0.04860503762710487,15.425629527530491
685,NAQ,False,ARIMA,3,2,113.57915291738027,127.8205603526732,0.09230152976607264,12.646382320063271
686,NAQ,False,ARIMA,3,3,79.03079912694382,93.00837786160207,0.08652539787721204,14.98594727641592
687,NAQ,False,ARIMA,3,4,46.75141759475887,53.76055153899921,0.04241115685312873,17.377179229079786
688,NAQ,False,ARIMA,3,5,108.96047883142704,123.1979260510792,0.08678925291162098,10.72201794304443
689,NAQ,False,ARIMA,3,6,50.70010966260324,64.35623040668538,0.051463640624747224,15.44766584856406
690,NAQ,False,ARIMA,4,2,113.57915291687698,127.82056035102215,0.0923015297606102,12.646382320063305
691,NAQ,False,ARIMA,4,3,76.85998737494221,99.36331457183145,0.10156115411750247,14.776870183056243
692,NAQ,False,ARIMA,4,4,47.396626557544636,55.1346314458492,0.0457139876210524,17.20826488888286
693,NAQ,False,ARIMA,4,5,107.88764498507628,122.59204871759697,0.09041595787119192,10.699079313151257
