,GDP_Auvergne-Rhône-Alpes,GDP_Bourgogne-Franche-Comté,GDP_Bretagne,GDP_Centre-Val de Loire,GDP_Corse,GDP_Grand Est,GDP_Hauts-de-France,GDP_Île-de-France,GDP_Normandie,GDP_Nouvelle-Aquitaine,GDP_Occitanie,GDP_Pays de la Loire,GDP_Provence-Alpes-Côte d'Azur
2012-11-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2012-12-01,237266.2940567779,71496.34688096702,86154.19756328627,68243.74982702595,8341.352942536665,147276.09809149438,150400.28753204766,629506.9421407259,88929.91165301204,156646.6201489422,149653.16309885267,103234.6484896046,150297.76814202947
2013-01-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-02-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-03-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-04-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-05-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-06-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-07-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-08-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-09-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-10-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-11-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2013-12-01,240201.1691898764,71834.91591105261,87600.59310260034,68750.75822421459,8470.375152363213,149011.2294170953,152133.1843344767,643624.2039233266,89839.72070586478,157717.5942372057,151741.81694999558,104948.39804015009,149988.49172422304
2014-01-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-02-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-03-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-04-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-05-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-06-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-07-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-08-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-09-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-10-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-11-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2014-12-01,244275.0,73119.0,89654.0,69131.0,8592.0,150621.0,153494.0,652859.0,90075.0,160880.0,155320.0,106990.0,152061.0
2015-01-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-02-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-03-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-04-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-05-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-06-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-07-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-08-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-09-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-10-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-11-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
2015-12-01,250120.0,73942.0,91910.0,70355.0,8868.0,152170.0,156922.0,668823.0,91740.0,163898.0,159115.0,109767.0,154879.0
