,FR-IDF_NC_FR,FR-CVL_NC_FR,FR-BFC_NC_FR,FR-NOR_NC_FR,FR-HDF_NC_FR,FR-GES_NC_FR,FR-PDL_NC_FR,FR-BRE_NC_FR,FR-NAQ_NC_FR,FR-OCC_NC_FR,FR-ARA_NC_FR,FR-PAC_NC_FR,FR-COR_NC_FR,FR-IDF_NC_ET,FR-CVL_NC_ET,FR-BFC_NC_ET,FR-NOR_NC_ET,FR-HDF_NC_ET,FR-GES_NC_ET,FR-PDL_NC_ET,FR-BRE_NC_ET,FR-NAQ_NC_ET,FR-OCC_NC_ET,FR-ARA_NC_ET,FR-PAC_NC_ET,FR-COR_NC_ET,FR-IDF_NH_FR,FR-CVL_NH_FR,FR-BFC_NH_FR,FR-NOR_NH_FR,FR-HDF_NH_FR,FR-GES_NH_FR,FR-PDL_NH_FR,FR-BRE_NH_FR,FR-NAQ_NH_FR,FR-OCC_NH_FR,FR-ARA_NH_FR,FR-PAC_NH_FR,FR-COR_NH_FR,FR-IDF_NH_ET,FR-CVL_NH_ET,FR-BFC_NH_ET,FR-NOR_NH_ET,FR-HDF_NH_ET,FR-GES_NH_ET,FR-PDL_NH_ET,FR-BRE_NH_ET,FR-NAQ_NH_ET,FR-OCC_NH_ET,FR-ARA_NH_ET,FR-PAC_NH_ET,FR-COR_NH_ET,NbDaysOff,FR-ARA_AvgTemp,FR-BFC_AvgTemp,FR-BRE_AvgTemp,FR-CVL_AvgTemp,FR-COR_AvgTemp,FR-GES_AvgTemp,FR-HDF_AvgTemp,FR-IDF_AvgTemp,FR-NOR_AvgTemp,FR-NAQ_AvgTemp,FR-OCC_AvgTemp,FR-PDL_AvgTemp,FR-PAC_AvgTemp,FR-ARA-A-NB,FR-BFC-A-NB,FR-BRE-A-NB,FR-CVL-A-NB,FR-COR-A-NB,FR-GES-A-NB,FR-HDF-A-NB,FR-IDF-A-NB,FR-NOR-A-NB,FR-NAQ-A-NB,FR-OCC-A-NB,FR-PDL-A-NB,FR-PAC-A-NB,FR-ARA-H-NB,FR-BFC-H-NB,FR-BRE-H-NB,FR-CVL-H-NB,FR-COR-H-NB,FR-GES-H-NB,FR-HDF-H-NB,FR-IDF-H-NB,FR-NOR-H-NB,FR-NAQ-H-NB,FR-OCC-H-NB,FR-PDL-H-NB,FR-PAC-H-NB
2017-06,97.52,137.1,165.09,239.1,163.26,159.07,801.94,760.17,1467.32,1703.45,807.27,1012.06,289.88,136.64,107.23,224.78,185.58,151.3,269.82,232.88,313.76,799.23,1166.25,531.82,935.96,276.71,2638.82,467.49,500.66,573.38,613.79,865.35,644.35,651.68,1255.62,1127.91,1509.71,1278.61,360.01,3682.59,149.1,225.38,233.21,232.98,467.18,95.04,145.7,297.6,500.04,496.25,1106.95,129.94,10,20.262854251012147,21.66093252971706,18.0,21.0,24.0,21.0,19.60978216452394,21.0,19.0,21.49141674300194,23.129310818986855,21.0,24.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-07,114.31,330.68,436.13,616.76,370.44,353.92,3049.49,2717.08,6025.42,5759.27,2392.51,3000.5,849.53,245.42,270.06,486.84,435.6,252.88,429.87,712.27,800.9,2169.82,2422.98,1581.45,1813.34,480.81,2476.3,519.82,551.07,605.89,588.29,861.2,669.3,715.28,1559.34,1400.22,1806.94,1622.75,385.09,4113.31,219.11,317.12,292.14,283.88,610.69,119.79,209.72,470.69,665.9,752.21,1446.98,168.81,11,24.0,22.66093252971706,21.0,23.0,30.0,22.288341040552005,21.0,23.0,20.0,23.6929656550756,26.129310818986855,23.0,29.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-08,96.76,369.41,513.09,780.79,451.1,442.43,3900.75,3458.34,8106.51,7776.18,3164.74,3799.31,1013.2,305.93,352.98,597.42,512.21,296.22,508.43,923.37,1049.0,2719.49,2350.72,1707.31,1771.36,583.63,1929.61,494.16,539.67,654.85,560.03,884.34,750.62,877.86,1885.21,1742.38,1921.95,1925.5,485.88,3765.12,244.16,294.5,324.91,296.45,645.02,119.4,253.5,501.94,683.88,670.92,1440.02,195.99,10,25.0,24.0,20.0,24.0,31.0,22.842501119126805,21.60978216452394,24.0,21.0,24.49141674300194,26.129310818986855,23.0,29.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-09,63.76,77.69,113.09,159.92,104.33,121.57,557.66,561.79,1333.65,1469.73,511.84,853.81,304.98,94.98,64.11,131.17,108.59,96.4,161.58,132.07,180.33,656.52,914.19,320.48,872.68,238.84,2457.28,434.84,491.42,553.37,618.07,872.7,613.33,657.08,1292.05,1197.92,1449.89,1302.12,401.71,3582.99,160.07,233.69,219.36,232.37,499.12,87.32,158.2,346.2,578.34,481.35,1065.19,149.49,10,16.262854251012147,16.32186505943412,16.0,17.0,22.0,16.144170520276003,17.0,18.0,16.0,18.088318918854615,19.129310818986855,18.0,21.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2701.4,405.76,449.53,522.27,603.49,849.84,512.84,553.45,1167.51,1027.6,1317.54,1125.72,184.71,3498.46,95.2,159.78,136.31,197.47,417.06,63.33,83.74,216.12,362.09,299.06,702.98,42.64,9,15.262854251012145,14.66093252971706,16.0,16.0,21.0,14.288341040552002,15.0,17.0,16.0,17.289867830928277,17.752873879324568,17.0,20.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2708.99,326.6,369.85,436.61,555.4,776.54,445.84,445.19,839.62,697.67,1113.5,791.97,42.37,2635.03,50.97,102.13,69.11,147.21,260.18,39.98,43.28,109.57,149.66,213.34,328.98,3.83,9,6.525708502024291,7.66093252971706,12.0,9.0,15.0,7.590010441701198,9.390217835476063,10.0,11.0,10.886770006780951,10.129310818986854,11.0,13.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2655.76,297.19,338.16,368.23,501.89,928.05,391.57,379.62,718.16,668.17,1270.75,740.94,31.98,2981.15,43.37,94.76,56.25,150.94,377.27,35.19,36.02,121.58,168.06,454.5,297.49,3.14,12,2.5257085020242913,4.321865059434121,10.0,7.0,11.0,4.590010441701198,7.0,7.0,9.0,8.19380435170535,7.129310818986855,9.0,9.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2018-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2453.27,263.71,306.35,316.97,457.68,589.63,367.57,347.29,637.87,597.66,1271.09,754.81,24.82,2487.21,37.04,79.03,46.38,112.45,209.19,45.09,33.71,92.76,128.87,579.57,273.4,2.06,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2018-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2276.45,274.76,340.01,361.79,442.51,597.22,394.33,375.33,709.13,679.61,1551.92,850.8,29.49,2413.45,38.36,105.2,64.87,128.04,252.28,52.75,35.67,83.74,144.42,694.34,310.16,2.41,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2018-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2671.91,342.79,414.3,445.37,524.85,699.66,469.12,476.93,962.14,796.92,1722.04,1027.02,42.67,3288.0,63.34,136.04,100.69,164.56,328.5,49.91,55.77,149.18,217.54,762.21,506.48,7.82,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2018-04,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.12,420.93,400.27,546.89,577.02,734.32,573.27,551.84,1091.46,955.46,1312.37,1107.88,156.78,3629.18,99.69,160.26,152.81,220.14,405.74,67.0,83.8,193.9,352.49,464.91,707.53,33.7,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2018-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.67,464.64,476.85,603.57,601.43,815.59,611.31,646.32,1217.16,1110.27,1356.11,1199.99,311.46,3799.6,131.28,204.57,205.74,230.85,484.77,84.86,125.67,249.51,476.86,380.31,902.82,94.66,12,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
