,region,with_gdp,trend_model,lag,periods,MAE,RMSE,Max_error,MASE
32,PDL,False,Holt,11,4,25.75353972951783,31.225571883232217,0.08439106045895099,9.70214623350701
33,PDL,False,Holt,11,5,42.98605079368374,50.1777083428029,0.114013592707359,7.260854695142454
34,PDL,False,Holt,11,6,86.39575630368496,91.20924208515859,0.16608350653863507,7.395057245661035
35,PDL,False,Holt,12,2,26.992877425471832,30.20269742714078,0.06807754444634959,8.278792358274755
36,PDL,False,Holt,12,3,31.500476175402202,39.30189887019776,0.11426524993715058,8.802440615961123
37,PDL,False,Holt,12,4,19.662823937740328,23.554295510137024,0.05951395412817407,10.015488175258206
38,PDL,False,Holt,12,5,132.76595489746563,150.35674437677622,0.28347286140219935,7.4786035586147355
39,PDL,False,Holt,12,6,82.53385000947047,88.08898221127008,0.17917966323133408,7.2171045714948265
40,PDL,False,Holt,13,2,29.7639530409719,32.108171734670954,0.06880339842318015,8.46501349335353
41,PDL,False,Holt,13,3,31.001994244415318,38.94105609909901,0.11178729886237614,8.74550749535481
42,PDL,False,Holt,13,4,20.099128275182196,24.07722799642395,0.0682386931841391,9.867694380934028
43,PDL,False,Holt,13,5,42.559199446564165,46.686166089431254,0.08358522409755757,7.897995368546087
44,PDL,False,Holt,13,6,82.33322006689029,89.81454681048804,0.20567285645107847,6.862129818435007
45,PDL,False,Holt,14,2,30.015660076632418,32.400361672437676,0.07188680458196388,8.499528475519456
46,PDL,False,Holt,14,3,32.04071618289479,42.68010784256286,0.1336891395776296,9.137835187634684
47,PDL,False,Holt,14,4,23.158959774135834,29.457713970226845,0.08788244954122491,10.410102685447
48,PDL,False,Holt,14,5,47.98017948216104,61.67522666132319,0.1545159618922746,7.386518135701822
49,PDL,False,Holt,14,6,67.31382741875156,73.72645636442752,0.14523550005950628,7.18514167720463
50,PDL,False,Holt,15,2,29.63966161777574,32.276600790815515,0.07244914717442562,8.458691129240805
51,PDL,False,Holt,15,3,31.433042396679827,41.63127276191608,0.12944559987273885,9.322087313080635
52,PDL,False,Holt,15,4,51.84782906655721,61.35984958240829,0.1681131094769205,10.787710652354955
53,PDL,False,Holt,15,5,52.590292572796876,65.0049378616628,0.14231291568691826,7.127477506351889
54,PDL,False,Holt,15,6,92.02139934056255,107.3200120288213,0.24842178878125937,7.348973854642035
55,PDL,False,ARIMA,5,2,43.79529177265146,49.67487483190439,0.0926642696134666,6.451048295600046
56,PDL,False,ARIMA,5,3,25.04366378708511,38.68297379711548,0.13392601320932307,7.77121830567587
57,PDL,False,ARIMA,5,4,22.88022485282431,28.636801995585984,0.06868574651253505,8.087876561943645
58,PDL,False,ARIMA,5,5,34.07830334431282,41.92635411123979,0.09516444147529877,7.236758512160379
59,PDL,False,ARIMA,5,6,13.232008784923556,20.129908368595913,0.06284197252084045,5.922563547232234
60,PDL,False,ARIMA,6,2,43.79529177265399,49.67487483190708,0.09266426961347418,6.451048295600033
61,PDL,False,ARIMA,6,3,22.96502855477287,31.893064314028393,0.09965595770145592,7.644804381585238
62,PDL,False,ARIMA,6,4,22.277560616555164,28.119637793519832,0.07002180630624351,8.00945497154515
63,PDL,False,ARIMA,6,5,32.76902479826543,40.75737459330559,0.09076224124641227,7.220172897393065
64,PDL,False,ARIMA,6,6,12.360781601913638,18.76475852160946,0.04960769015667104,6.004729375593766
65,PDL,False,ARIMA,7,2,43.79529177265346,49.67487483190671,0.09266426961347254,6.4510482956000414
66,PDL,False,ARIMA,7,3,22.965028554826574,31.89306431408322,0.09965595770168224,7.6448043815859466
67,PDL,False,ARIMA,7,4,19.169607347478784,25.603976643351203,0.07199562435915254,8.031007546381167
68,PDL,False,ARIMA,7,5,31.99679012706858,38.78354704126259,0.08633160585002937,7.027233179804622
69,PDL,False,ARIMA,7,6,15.18685643102115,19.866073159176064,0.05072997510894197,5.875348384311022
70,PDL,False,ARIMA,8,2,43.79529177265348,49.674874831906706,0.0926642696134727,6.451048295600035
71,PDL,False,ARIMA,8,3,22.965028554824247,31.893064314080316,0.09965595770166881,7.644804381586029
72,PDL,False,ARIMA,8,4,22.928847387535857,34.43021272633471,0.0983159105373447,8.200041052995509
73,PDL,False,ARIMA,8,5,33.248462250292185,39.87864717840358,0.08834558368451419,6.734738753895627
74,PDL,False,ARIMA,8,6,17.027918101337445,22.41800376538715,0.05589547167983597,5.869853475910646
75,PDL,False,ARIMA,9,2,43.79529177265258,49.67487483190578,0.09266426961347032,6.451048295600043
76,PDL,False,ARIMA,9,3,22.965028554821256,31.89306431407701,0.09965595770166022,7.644804381586013
77,PDL,False,ARIMA,9,4,18.852420022173007,25.732244931863093,0.07398830547614058,8.308356220892533
78,PDL,False,ARIMA,9,5,34.82499553201007,42.10752587963261,0.0924491862846083,6.803244579054746
79,PDL,False,ARIMA,9,6,17.908724501844002,22.783965628202385,0.05452716696144423,5.958635335430127
80,PDL,False,ARIMA,10,2,43.79529177265342,49.67487483190664,0.09266426961347254,6.451048295600032
81,PDL,False,ARIMA,10,3,22.965028554821245,31.893064314077343,0.09965595770166161,7.64480438158599
82,PDL,False,ARIMA,10,4,18.852420022134506,25.732244931795144,0.07398830547619534,8.308356220892218
83,PDL,False,ARIMA,10,5,37.61658362549083,47.21580289235964,0.11530076388521157,6.488885232163662
84,PDL,False,ARIMA,10,6,14.93328679249455,18.015148814206913,0.03907233627297441,5.888119263802145
85,PDL,False,ARIMA,11,2,43.79529177265406,49.67487483190728,0.09266426961347314,6.451048295600026
86,PDL,False,ARIMA,11,3,22.965028554823917,31.893064314079975,0.0996559577016695,7.644804381586013
87,PDL,False,ARIMA,11,4,18.8524200221452,25.73224493181505,0.07398830547618278,8.308356220892378
88,PDL,False,ARIMA,11,5,32.460676686103895,38.06455779805959,0.08898635266500762,6.495159560640108
89,PDL,False,ARIMA,11,6,16.102038412005523,19.73653835886162,0.04903657829891461,5.8578765177398155
90,PDL,False,ARIMA,12,2,43.56960630007757,49.516407159247755,0.09273967582557734,6.483764787097199
91,PDL,False,ARIMA,12,3,25.60173707319605,34.56158720673187,0.112924814125542,7.717928594115647
92,PDL,False,ARIMA,12,4,22.161825692196597,26.706821473061954,0.07169788837949519,8.537884900727004
