,region,periods,MAE,RMSE,Max_error,MASE
28,PAC,5,105.45602970021095,127.84666163507433,0.06783194701655917,2.063281359794124
29,PAC,6,97.39708278776168,129.4106607922619,0.10005168620580376,1.0241274707579888
30,PDL,2,39.69592031834432,44.66247767097042,0.08971554686417652,1.6573920316625441
31,PDL,3,21.959801617478394,29.25477778528051,0.0848871826640078,0.9885865073894844
32,PDL,4,17.69972317757619,21.44776130154275,0.053640138899614574,0.8960750880939723
33,PDL,5,32.18693688659602,38.06173767726867,0.09228061942994457,1.1351414878009534
34,PDL,6,16.681218150004568,22.428836188248084,0.05967917536348767,0.47200975689135516
35,BRE,2,157.96094503147643,194.56965318432228,0.3239349058602965,4.4575565336697345
36,BRE,3,138.99630516963597,167.8263825269975,0.23716458795761142,4.874782739173581
37,BRE,4,19.85604356920851,24.314643030489673,0.0379430876729316,0.8527091680581972
38,BRE,5,27.08592278949651,32.35856656460126,0.055867847091255037,0.8555926017372345
39,BRE,6,25.836604315759004,31.52412736312574,0.06044240107871774,1.4331110834293626
40,OCC,2,483.8854963495127,566.9843733157833,0.34575610664823003,14.024989025153744
41,OCC,3,419.8401587384114,497.3891183563823,0.3046057495628611,7.1713405902394705
42,OCC,4,335.0990835669747,400.69862554157265,0.2540719287473223,7.380630660579812
43,OCC,5,55.01497565606209,67.60330265339336,0.056440891791303946,1.6125148576555146
44,OCC,6,39.16702770461342,55.44599066767646,0.062045703906872286,0.7886772702878821
45,COR,2,205.12072047584206,222.62952122714418,0.47871024000933804,19.03525362083448
46,COR,3,202.8587609207993,214.9625645150566,0.4725620674382243,22.689021633419628
47,COR,4,191.25081260350365,205.96973938136782,0.45417345595979886,13.406997027935768
48,COR,5,196.79737654330575,209.05727853815455,0.45213186974966196,11.82380472898247
49,COR,6,194.29596038389582,207.94721656950347,0.46044920163540953,16.473903233284464
50,BFC,2,72.4255479733332,89.24911760793316,0.18369444597442333,3.641609719601098
51,BFC,3,16.67913903015121,20.900115695806832,0.05006413522719048,0.9204822864321857
52,BFC,4,15.964415868370276,20.81691334889796,0.06226748561890227,0.8297154074253674
53,BFC,5,21.676419574028873,26.730483271120036,0.06418004055435005,0.755626989566426
54,BFC,6,34.759303373047196,40.85569435065114,0.08441687732908472,1.9088030408043493
55,GES,2,67.66896379008111,74.79018664730924,0.08467160895540347,2.0714988915330954
56,GES,3,25.543884275011937,31.659723764767925,0.05167093379466426,0.7280052518706638
57,GES,4,39.78019784511651,43.35922194312391,0.04745706755091907,1.049240315942935
58,GES,5,29.886653099161776,35.36654416536791,0.040927215333043436,1.3446304633696053
59,GES,6,39.66935088601542,42.394969157131285,0.04919387053116337,1.0597569194153587
60,HDF,2,26.749499141382127,31.05063573212228,0.07651638833240922,1.3340287162188738
61,HDF,3,27.99931331556734,35.07229196119138,0.0706130153455039,1.3756622985047828
62,HDF,4,16.361411938161748,19.900549453073687,0.05093383735761402,0.6923999973830619
63,HDF,5,12.778307203205932,18.223079189789416,0.04512281670294963,0.5548347738121769
64,HDF,6,22.252354133817608,25.839699775586443,0.054282305691097876,0.8187283446445237
65,NOR,2,124.49420507991529,157.1071228624781,0.2854616266997258,3.854210316965462
66,NOR,3,30.668231733388552,39.24246834126533,0.09022885275872058,1.0158968166528524
67,NOR,4,19.531538055440066,22.302976858800307,0.04066156417989631,0.8011021521867611
68,NOR,5,21.496982122789145,27.129902411683805,0.06351818344941403,0.8324366242004249
69,NOR,6,28.02148892445989,33.449848693873676,0.06096378617671638,0.9010366491425785
