,avgtemp_BRE,avgtemp_COR,avgtemp_CVL,avgtemp_IDF,avgtemp_PDL,avgtemp_PAC,avgtemp_NOR,avgtemp_GES,avgtemp_NAQ,avgtemp_ARA,avgtemp_BFC,avgtemp_OCC,avgtemp_HDF
2014-06-01,19.0,25.0,21.0,21.0,21.0,25.0,19.0,21.0,22.49141674300195,20.73714574898785,21.0,23.752873879324568,19.609782164523946
2014-07-01,21.0,26.0,22.0,23.0,23.0,25.0,21.0,22.0,23.10548543285073,20.0,21.0,23.12931081898685,22.0
2014-08-01,19.0,27.0,20.0,20.0,21.0,25.0,19.0,19.445841241098325,22.289867830928287,19.73714574898785,19.66093252971706,23.12931081898685,19.0
2014-09-01,21.0,25.0,20.0,20.0,22.0,23.0,20.0,19.301673254052552,23.088318918854608,18.26285425101215,19.32186505943412,22.376436939662284,20.0
2014-10-01,17.0,22.0,17.0,17.0,19.0,20.0,17.0,15.445841241098325,20.088318918854615,15.525708502024292,16.321865059434117,19.752873879324568,16.0
2014-11-01,13.0,19.0,12.0,12.0,14.0,15.0,12.0,9.445841241098323,14.395353263779011,9.525708502024292,10.66093252971706,14.129310818986854,11.0
2014-12-01,10.0,14.0,6.0,6.0,9.0,10.0,9.0,4.445841241098323,8.395353263779013,3.525708502024292,4.6609325297170585,7.5057477586491395,6.390217835476062
2015-01-01,10.0,13.0,6.0,6.0,9.0,9.0,8.0,3.4458412410983232,8.19380435170535,2.525708502024292,3.6609325297170603,7.5057477586491395,6.0
2015-02-01,8.0,11.0,6.0,6.0,7.0,9.0,7.0,4.035850469242422,7.395353263779013,2.525708502024292,4.3218650594341215,5.882184698311424,6.390217835476062
2015-03-01,11.0,14.0,11.0,10.0,11.0,13.0,10.0,9.0,11.596902175852675,8.525708502024292,9.66093252971706,11.129310818986854,9.0
2015-04-01,14.0,18.0,14.0,14.0,15.0,17.0,13.0,12.855832012954226,15.982833486003878,12.525708502024292,13.660932529717062,15.75287387932457,13.0
2015-05-01,15.0,23.0,17.0,16.0,17.0,22.0,15.0,16.144167987045776,18.491416743001945,17.0,16.660932529717062,20.12931081898685,15.0
2015-06-01,19.0,27.0,21.0,21.0,21.0,27.0,19.0,20.590009228144094,23.184382398077545,22.0,21.66093252971706,25.12931081898685,19.609782164523946
2015-07-01,20.0,32.0,24.0,24.0,23.0,30.0,21.0,24.144167987045776,25.385931310151204,26.0,25.66093252971706,27.752873879324568,21.60978216452394
2015-08-01,20.0,29.0,24.0,23.0,23.0,28.0,20.0,23.554158758901682,24.49141674300195,23.26285425101215,24.66093252971706,25.752873879324568,21.60978216452394
2015-09-01,16.0,25.0,17.0,16.0,18.0,23.0,16.0,15.590009228144098,19.28986783092828,16.26285425101215,16.660932529717062,20.12931081898685,15.609782164523935
2015-10-01,15.0,20.0,14.0,13.0,16.0,18.0,14.0,11.590009228144098,16.579735661856553,12.262854251012143,12.660932529717062,16.752873879324568,13.0
2015-11-01,14.0,17.0,13.0,12.0,15.0,15.0,12.0,9.590009228144098,14.886770006780953,10.525708502024292,10.66093252971706,14.129310818986854,11.0
2015-12-01,13.0,14.0,10.0,9.0,13.0,13.0,11.0,8.0,13.088318918854617,7.788562753036437,8.660932529717059,12.129310818986854,9.390217835476065
2016-01-01,9.0,13.0,7.0,6.0,9.0,10.0,7.0,4.445841241098323,9.886770006780953,5.52570850202429,6.321865059434121,9.129310818986854,6.0
2016-02-01,9.0,14.0,8.0,7.0,9.0,11.0,7.0,5.5900092281440985,9.088318918854617,6.262854251012146,6.660932529717059,9.505747758649141,7.0
2016-03-01,9.0,14.0,9.0,8.0,10.0,12.0,8.0,6.5900092281440985,10.088318918854617,7.262854251012146,7.660932529717059,10.129310818986854,8.0
2016-04-01,11.0,18.0,12.0,12.0,12.0,16.0,11.0,11.0,12.596902175852675,11.0,11.660932529717062,13.129310818986854,11.0
2016-05-01,15.0,20.0,16.0,16.0,16.0,19.0,15.0,16.0,16.596902175852676,14.262854251012143,15.0,16.752873879324568,16.0
2016-06-01,17.0,24.0,19.0,19.0,19.0,23.0,17.0,19.0,19.28986783092828,19.0,18.66093252971706,20.505747758649143,17.609782164523942
2016-07-01,19.0,27.0,22.0,21.0,21.0,26.0,19.0,21.554158758901682,22.49141674300195,22.0,22.0,24.12931081898685,20.0
2016-08-01,20.0,26.0,24.0,23.0,23.0,26.0,21.0,21.855832012954224,23.49141674300195,22.0,22.66093252971706,24.12931081898685,21.60978216452394
2016-09-01,19.0,25.0,21.0,21.0,21.0,24.0,19.0,20.144167987045776,21.28986783092828,19.26285425101215,20.66093252971706,22.12931081898685,20.0
2016-10-01,14.0,20.0,13.0,13.0,14.0,18.0,13.0,11.445841241098325,15.579735661856553,11.262854251012143,11.660932529717062,16.129310818986855,12.390217835476065
2016-11-01,11.0,16.0,9.0,9.0,11.0,13.0,10.0,7.0,12.088318918854617,7.52570850202429,7.660932529717059,11.505747758649141,8.390217835476061
2016-12-01,11.0,14.0,6.0,6.0,9.0,11.0,8.0,4.445841241098323,10.088318918854617,4.525708502024291,5.0,10.129310818986854,6.390217835476062
2017-01-01,8.0,10.0,4.0,3.0,6.0,8.0,6.0,0.3016732540525482,6.395353263779013,0.5257085020242915,0.9827975891511804,5.5057477586491395,3.390217835476064
2017-02-01,10.0,14.0,9.0,8.0,10.0,12.0,9.0,7.0,11.088318918854618,6.52570850202429,7.660932529717059,10.75287387932457,8.0
2017-03-01,12.0,16.0,12.0,12.0,12.0,14.0,11.0,11.0,13.289867830928275,9.525708502024292,10.66093252971706,13.129310818986854,11.0
2017-04-01,11.0,16.0,11.0,11.0,12.0,15.0,11.0,10.0,12.491416743001938,10.262854251012143,10.66093252971706,13.75287387932457,10.609782164523935
2017-05-01,15.0,19.0,17.0,16.0,17.0,18.0,15.0,16.0,17.491416743001942,14.525708502024292,15.660932529717062,17.752873879324568,15.609782164523935
